IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.91.231.245,443,443,true,FRA,Europe,Frankfurt,186,8.93
35.202.158.120,443,443,true,ORD,North America,Chicago,207,8.93
34.154.43.250,443,443,true,FRA,Europe,Frankfurt,195,8.93
34.65.178.56,443,443,true,FRA,Europe,Frankfurt,190,8.92
35.186.188.34,443,443,true,IAD,North America,Ashburn,212,8.91
34.65.113.100,443,443,true,AMS,Europe,Amsterdam,174,8.91
34.91.12.47,443,443,true,FRA,Europe,Frankfurt,179,8.90
34.150.180.124,443,443,true,IAD,North America,Ashburn,214,8.90
34.69.150.180,443,443,true,ORD,North America,Chicago,206,8.89
34.145.145.76,443,443,true,IAD,North America,Ashburn,286,8.88
34.118.71.179,443,443,true,FRA,Europe,Frankfurt,189,8.88
34.154.172.150,443,443,true,FRA,Europe,Frankfurt,204,8.86
34.32.130.206,443,443,true,CDG,Europe,Paris,190,8.86
34.65.70.183,443,443,true,EWR,North America,Newark,174,8.83
34.91.35.109,443,443,true,FRA,Europe,Frankfurt,177,8.82
34.154.116.167,443,443,true,FRA,Europe,Frankfurt,175,8.82
34.90.203.239,443,443,true,AMS,Europe,Amsterdam,184,8.81
35.232.160.115,443,443,true,ORD,North America,Chicago,206,8.81
34.118.17.47,443,443,true,EWR,North America,Newark,187,8.80
34.70.91.86,443,0,true,ORD,North America,Chicago,206,8.78
34.118.11.209,443,443,true,IAD,North America,Ashburn,189,8.78
34.118.28.224,443,443,true,FRA,Europe,Frankfurt,188,8.77
34.116.174.214,443,443,true,FRA,Europe,Frankfurt,191,8.76
34.32.194.85,443,443,true,FRA,Europe,Frankfurt,179,8.75
34.118.69.139,443,443,true,FRA,Europe,Frankfurt,190,8.73
34.141.209.35,443,443,true,FRA,Europe,Frankfurt,181,8.73
34.91.12.47,443,443,true,FRA,Europe,Frankfurt,179,8.71
34.65.114.26,443,443,true,FRA,Europe,Frankfurt,178,8.71
34.65.140.253,443,443,true,FRA,Europe,Frankfurt,201,8.71
34.150.133.11,443,443,true,IAD,North America,Ashburn,219,8.68
34.65.227.116,443,443,true,FRA,Europe,Frankfurt,175,8.66
34.65.151.47,443,443,true,FRA,Europe,Frankfurt,187,8.65
35.196.227.34,80,0,false,ATL,North America,Atlanta,218,8.65
34.116.228.34,443,443,true,FRA,Europe,Frankfurt,206,8.64
34.154.149.221,443,443,true,FRA,Europe,Frankfurt,216,8.62
34.159.25.164,443,443,true,FRA,Europe,Frankfurt,181,8.61
34.91.130.108,443,443,true,CDG,Europe,Paris,193,8.61
34.65.222.230,443,443,true,FRA,Europe,Frankfurt,200,8.61
34.118.67.25,443,443,true,FRA,Europe,Frankfurt,189,8.59
34.154.222.58,443,443,true,AMS,Europe,Amsterdam,186,8.59
34.91.228.224,443,443,true,EWR,North America,Newark,179,8.59
34.32.212.167,443,443,true,CDG,Europe,Paris,178,8.59
35.234.84.142,443,443,true,EWR,North America,Newark,165,8.58
34.118.17.152,443,443,true,FRA,Europe,Frankfurt,196,8.56
104.197.3.69,443,443,true,ORD,North America,Chicago,207,8.55
34.65.154.40,443,443,true,FRA,Europe,Frankfurt,178,8.55
34.118.29.115,443,443,true,FRA,Europe,Frankfurt,197,8.54
34.74.105.17,80,8080,false,ATL,North America,Atlanta,218,8.52
34.118.41.105,443,443,true,CDG,Europe,Paris,221,8.52
34.32.156.13,443,443,true,CDG,Europe,Paris,192,8.50
34.91.91.210,443,443,true,FRA,Europe,Frankfurt,176,8.49
34.118.67.168,443,443,true,CDG,Europe,Paris,198,8.49
34.91.31.93,443,443,true,CDG,Europe,Paris,184,8.47
34.154.100.214,443,443,true,FRA,Europe,Frankfurt,177,8.43
34.65.78.162,443,443,true,AMS,Europe,Amsterdam,195,8.43
34.118.40.210,443,443,true,EWR,North America,Newark,189,8.43
34.91.226.111,443,443,true,CDG,Europe,Paris,180,8.43
35.246.165.79,443,443,true,FRA,Europe,Frankfurt,198,8.40
34.118.90.137,443,443,true,FRA,Europe,Frankfurt,192,8.39
35.196.72.166,443,443,true,ATL,North America,Atlanta,220,8.39
34.118.95.31,443,443,true,CDG,Europe,Paris,187,8.36
34.32.156.13,443,443,true,EWR,North America,Newark,181,8.33
34.118.40.101,443,443,true,EWR,North America,Newark,206,8.33
34.91.231.245,443,443,true,FRA,Europe,Frankfurt,187,8.33
34.116.229.139,443,443,true,FRA,Europe,Frankfurt,187,8.32
34.65.201.127,443,443,true,AMS,Europe,Amsterdam,174,8.31
34.116.222.76,443,443,true,FRA,Europe,Frankfurt,198,8.31
34.66.72.229,443,443,true,ORD,North America,Chicago,206,8.29
35.185.75.107,443,443,true,ATL,North America,Atlanta,217,8.26
34.116.252.45,443,443,true,FRA,Europe,Frankfurt,186,8.20
34.65.57.220,443,443,true,FRA,Europe,Frankfurt,183,8.20
34.118.75.210,443,443,true,AMS,Europe,Amsterdam,176,8.18
34.154.243.100,443,443,true,FRA,Europe,Frankfurt,194,8.18
34.118.11.209,443,443,true,AMS,Europe,Amsterdam,184,8.17
34.65.104.227,443,443,true,FRA,Europe,Frankfurt,172,8.15
34.118.29.222,443,443,true,FRA,Europe,Frankfurt,194,8.14
34.65.13.54,443,443,true,FRA,Europe,Frankfurt,172,8.13
34.118.121.61,443,443,true,EWR,North America,Newark,198,8.13
34.89.234.44,443,443,true,FRA,Europe,Frankfurt,230,8.10
34.65.193.225,443,443,true,FRA,Europe,Frankfurt,164,8.09
34.65.206.96,443,443,true,FRA,Europe,Frankfurt,193,8.08
34.65.208.108,443,443,true,FRA,Europe,Frankfurt,172,8.08
34.118.11.212,443,443,true,EWR,North America,Newark,191,8.06
35.246.171.149,443,443,true,CDG,Europe,Paris,172,8.06
34.148.187.247,443,443,true,ATL,North America,Atlanta,220,8.05
35.190.152.145,443,443,true,ATL,North America,Atlanta,219,8.05
34.118.75.185,443,443,true,FRA,Europe,Frankfurt,186,8.02
34.154.57.211,443,443,true,AMS,Europe,Amsterdam,184,7.99
34.116.235.211,443,443,true,FRA,Europe,Frankfurt,187,7.98
34.159.83.176,443,443,true,FRA,Europe,Frankfurt,212,7.98
34.65.206.96,443,443,true,FRA,Europe,Frankfurt,177,7.98
34.154.121.217,443,443,true,EWR,North America,Newark,207,7.97
34.32.247.206,443,443,true,FRA,Europe,Frankfurt,177,7.95
34.116.211.148,443,443,true,FRA,Europe,Frankfurt,190,7.95
34.65.104.227,443,443,true,FRA,Europe,Frankfurt,175,7.92
34.74.105.17,80,8080,false,ATL,North America,Atlanta,218,7.92
34.89.234.44,443,443,true,FRA,Europe,Frankfurt,154,7.92
34.65.41.25,443,443,true,EWR,North America,Newark,180,7.91
34.116.159.174,443,443,true,FRA,Europe,Frankfurt,188,7.91
34.147.69.215,443,443,true,FRA,Europe,Frankfurt,179,7.89
34.154.127.37,443,443,true,CDG,Europe,Paris,177,7.88
35.245.66.167,443,443,true,IAD,North America,Ashburn,212,7.87
34.118.87.123,443,443,true,FRA,Europe,Frankfurt,189,7.85
34.118.50.233,443,443,true,CDG,Europe,Paris,180,7.83
34.89.234.44,443,443,true,FRA,Europe,Frankfurt,182,7.78
34.89.156.120,443,443,true,IAD,North America,Ashburn,197,7.78
34.118.30.13,443,443,true,FRA,Europe,Frankfurt,186,7.77
34.91.130.108,443,443,true,CDG,Europe,Paris,185,7.76
34.65.245.65,443,443,true,CDG,Europe,Paris,176,7.76
34.118.87.93,443,443,true,EWR,North America,Newark,177,7.75
