IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.246.12.53,8443,0,false,ORD,North America,Chicago,314,0.00
13.246.201.148,2087,0,false,ORD,North America,Chicago,315,0.00
18.191.133.229,2083,0,false,ORD,North America,Chicago,339,0.00
18.223.101.76,8080,0,false,ORD,North America,Chicago,318,0.00
3.144.205.70,2082,0,false,ORD,North America,Chicago,349,0.00
3.15.191.123,2082,0,false,ORD,North America,Chicago,342,0.00
13.246.12.53,443,0,false,ORD,North America,Chicago,310,0.00
3.144.205.70,2095,0,false,ORD,North America,Chicago,345,0.00
13.245.196.44,8880,0,false,ORD,North America,Chicago,315,0.00
52.60.91.184,8080,0,false,ORD,North America,Chicago,273,0.00
15.156.24.206,80,0,false,ORD,North America,Chicago,256,0.00
13.247.57.70,8443,0,false,ORD,North America,Chicago,312,0.00
3.130.65.162,80,0,false,ORD,North America,Chicago,348,0.00
3.15.191.123,2083,0,false,ORD,North America,Chicago,338,0.00
13.246.12.53,2053,0,false,ORD,North America,Chicago,312,0.00
3.17.145.214,2086,0,false,ORD,North America,Chicago,343,0.00
3.145.146.117,8080,0,false,ORD,North America,Chicago,320,0.00
18.117.123.146,2086,0,false,ORD,North America,Chicago,324,0.00
3.145.146.117,2095,0,false,ORD,North America,Chicago,251,0.00
52.60.91.184,8880,0,false,ORD,North America,Chicago,270,0.00
99.79.128.94,8443,0,false,ORD,North America,Chicago,332,0.00
3.15.191.123,8880,0,false,ORD,North America,Chicago,336,0.00
99.79.128.94,2087,0,false,ORD,North America,Chicago,264,0.00
3.144.205.70,8880,0,false,ORD,North America,Chicago,323,0.00
18.224.165.164,8080,0,false,ORD,North America,Chicago,351,0.00
18.216.253.235,80,0,false,ORD,North America,Chicago,343,0.00
18.223.101.76,2082,0,false,ORD,North America,Chicago,314,0.00
18.117.144.248,2087,0,false,ORD,North America,Chicago,254,0.00
3.133.94.62,2053,0,false,ORD,North America,Chicago,353,0.00
18.216.164.6,80,0,false,ORD,North America,Chicago,341,0.00
99.79.128.94,2096,0,false,ORD,North America,Chicago,267,0.00
3.145.217.191,443,0,false,ORD,North America,Chicago,342,0.00
18.191.133.229,8080,0,false,ORD,North America,Chicago,340,0.00
3.17.145.214,443,0,false,ORD,North America,Chicago,349,0.00
13.245.111.60,2095,0,false,ORD,North America,Chicago,316,0.00
52.60.91.184,80,0,false,ORD,North America,Chicago,314,0.00
18.116.82.130,2086,0,false,ORD,North America,Chicago,344,0.00
18.223.101.76,2096,0,false,ORD,North America,Chicago,342,0.00
15.156.194.55,2082,0,false,ORD,North America,Chicago,354,0.00
3.17.145.214,2053,0,false,ORD,North America,Chicago,338,0.00
