IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.137.50,2086,2086,false,SIN,Asia Pacific,Singapore,42,10.87
8.219.106.15,443,443,true,SIN,Asia Pacific,Singapore,76,10.87
8.222.187.4,2087,2087,true,SIN,Asia Pacific,Singapore,201,10.87
47.237.8.82,2086,2086,false,SIN,Asia Pacific,Singapore,22,10.86
47.243.173.187,2052,2052,false,HKG,Asia Pacific,Hong Kong,32,10.86
47.236.174.206,8443,8443,true,SIN,Asia Pacific,Singapore,133,10.86
8.219.103.65,2095,2095,false,SIN,Asia Pacific,Singapore,8,10.85
47.236.168.17,2053,2053,true,SIN,Asia Pacific,Singapore,63,10.85
8.222.249.190,80,80,false,SIN,Asia Pacific,Singapore,5,10.84
8.222.167.147,2053,2053,true,SIN,Asia Pacific,Singapore,10,10.84
8.218.174.118,2096,2096,true,HKG,Asia Pacific,Hong Kong,113,10.84
8.219.174.142,2087,2087,true,SIN,Asia Pacific,Singapore,89,10.83
8.219.202.130,2053,2053,true,SIN,Asia Pacific,Singapore,95,10.83
47.236.170.54,2095,2095,false,SIN,Asia Pacific,Singapore,13,10.83
8.222.237.131,2052,2052,false,SIN,Asia Pacific,Singapore,25,10.83
8.222.160.176,8080,8080,false,SIN,Asia Pacific,Singapore,7,10.82
8.222.255.15,2095,2095,false,SIN,Asia Pacific,Singapore,10,10.82
47.76.37.57,8443,8443,true,HKG,Asia Pacific,Hong Kong,107,10.82
8.218.142.253,2087,2087,true,HKG,Asia Pacific,Hong Kong,75,10.82
8.219.210.64,2087,2087,true,SIN,Asia Pacific,Singapore,107,10.82
8.219.157.97,443,443,true,SIN,Asia Pacific,Singapore,76,10.81
8.222.187.4,2087,2087,true,SIN,Asia Pacific,Singapore,98,10.81
8.219.242.208,2087,2087,true,SIN,Asia Pacific,Singapore,38,10.81
8.219.198.34,2096,2096,true,SIN,Asia Pacific,Singapore,64,10.81
47.236.123.133,8080,8080,false,SIN,Asia Pacific,Singapore,14,10.80
8.219.220.88,2082,2082,false,SIN,Asia Pacific,Singapore,16,10.80
8.219.93.5,8443,8443,true,SIN,Asia Pacific,Singapore,40,10.80
8.219.198.34,8880,8880,false,SIN,Asia Pacific,Singapore,23,10.80
8.218.149.193,2053,2053,true,HKG,Asia Pacific,Hong Kong,61,10.80
8.219.250.239,2096,2096,true,SIN,Asia Pacific,Singapore,101,10.80
8.219.67.133,2052,2052,false,SIN,Asia Pacific,Singapore,5,10.79
8.219.188.162,2086,2086,false,SIN,Asia Pacific,Singapore,7,10.79
8.222.180.242,8080,8080,false,SIN,Asia Pacific,Singapore,45,10.79
8.219.206.53,2095,2095,false,SIN,Asia Pacific,Singapore,7,10.78
8.222.128.131,8880,8880,false,SIN,Asia Pacific,Singapore,7,10.78
8.219.186.189,80,80,false,SIN,Asia Pacific,Singapore,7,10.78
47.236.169.141,8880,8880,false,SIN,Asia Pacific,Singapore,11,10.78
8.222.215.228,2095,2095,false,SIN,Asia Pacific,Singapore,3,10.77
8.222.214.13,2082,2082,false,SIN,Asia Pacific,Singapore,18,10.77
8.219.186.189,443,443,true,SIN,Asia Pacific,Singapore,48,10.77
47.236.121.23,80,80,false,SIN,Asia Pacific,Singapore,22,10.77
8.219.106.156,8880,8880,false,SIN,Asia Pacific,Singapore,5,10.77
8.219.126.240,8880,8880,false,SIN,Asia Pacific,Singapore,6,10.77
8.222.244.192,2052,2052,false,SIN,Asia Pacific,Singapore,11,10.77
8.222.198.105,443,443,true,SIN,Asia Pacific,Singapore,98,10.76
8.219.60.54,8080,8080,false,SIN,Asia Pacific,Singapore,36,10.76
8.219.137.50,8880,8880,false,SIN,Asia Pacific,Singapore,8,10.76
8.219.170.223,2083,2083,true,SIN,Asia Pacific,Singapore,132,10.76
8.218.136.25,2087,2087,true,HKG,Asia Pacific,Hong Kong,43,10.76
8.219.73.188,80,80,false,SIN,Asia Pacific,Singapore,10,10.75
8.219.0.162,2052,2052,false,SIN,Asia Pacific,Singapore,298,10.75
47.243.27.217,2096,2096,true,HKG,Asia Pacific,Hong Kong,58,10.73
8.222.208.38,8080,8080,false,SIN,Asia Pacific,Singapore,10,10.73
8.218.146.204,8880,8880,false,HKG,Asia Pacific,Hong Kong,46,10.73
8.218.110.180,80,80,false,HKG,Asia Pacific,Hong Kong,70,10.73
47.242.202.230,2096,2096,true,HKG,Asia Pacific,Hong Kong,60,10.73
8.219.177.205,2086,2086,false,SIN,Asia Pacific,Singapore,3,10.73
8.219.3.53,2095,2095,false,SIN,Asia Pacific,Singapore,9,10.73
8.219.229.190,2096,2096,true,SIN,Asia Pacific,Singapore,93,10.73
8.222.226.15,2053,2053,true,SIN,Asia Pacific,Singapore,153,10.73
47.236.174.206,2082,2082,false,SIN,Asia Pacific,Singapore,52,10.72
47.236.87.206,2095,2095,false,SIN,Asia Pacific,Singapore,28,10.71
8.219.13.143,2095,2095,false,SIN,Asia Pacific,Singapore,7,10.71
8.217.250.5,2082,2082,false,HKG,Asia Pacific,Hong Kong,33,10.71
8.219.200.145,8443,8443,true,SIN,Asia Pacific,Singapore,83,10.71
8.219.141.174,2096,2096,true,SIN,Asia Pacific,Singapore,67,10.71
47.242.174.27,2083,2083,true,HKG,Asia Pacific,Hong Kong,63,10.70
8.219.186.189,2083,2083,true,SIN,Asia Pacific,Singapore,41,10.70
8.219.126.3,2086,2086,false,SIN,Asia Pacific,Singapore,14,10.70
47.236.121.23,80,80,false,SIN,Asia Pacific,Singapore,19,10.68
8.219.229.190,2083,2083,true,SIN,Asia Pacific,Singapore,54,10.68
8.222.212.172,443,443,true,SIN,Asia Pacific,Singapore,50,10.68
8.218.48.92,8443,8443,true,HKG,Asia Pacific,Hong Kong,88,10.68
8.222.237.131,8880,8880,false,SIN,Asia Pacific,Singapore,26,10.67
8.222.198.105,2052,2052,false,SIN,Asia Pacific,Singapore,4,10.67
47.236.87.206,80,80,false,SIN,Asia Pacific,Singapore,19,10.66
8.219.202.130,2052,2052,false,SIN,Asia Pacific,Singapore,7,10.65
8.217.207.60,2095,2095,false,HKG,Asia Pacific,Hong Kong,42,10.65
8.219.206.180,8443,8443,true,SIN,Asia Pacific,Singapore,91,10.65
8.219.66.156,443,443,true,NRT,Asia Pacific,Tokyo,79,10.65
47.236.104.98,2083,2083,true,SIN,Asia Pacific,Singapore,81,10.65
8.222.249.98,8443,8443,true,SIN,Asia Pacific,Singapore,150,10.64
8.217.207.60,2082,2082,false,HKG,Asia Pacific,Hong Kong,42,10.64
47.236.165.25,2096,2096,true,SIN,Asia Pacific,Singapore,53,10.63
8.222.221.86,2095,2095,false,SIN,Asia Pacific,Singapore,5,10.62
8.222.202.163,2086,2086,false,SIN,Asia Pacific,Singapore,5,10.62
47.236.171.205,2053,2053,true,SIN,Asia Pacific,Singapore,35,10.62
8.222.162.45,2096,2096,true,SIN,Asia Pacific,Singapore,37,10.62
8.222.219.34,8443,8443,true,SIN,Asia Pacific,Singapore,219,10.62
8.219.177.205,8443,8443,true,SIN,Asia Pacific,Singapore,131,10.61
8.217.251.62,2053,2053,true,HKG,Asia Pacific,Hong Kong,78,10.60
8.219.84.102,2095,2095,false,SIN,Asia Pacific,Singapore,17,10.60
8.219.73.21,8080,8080,false,SIN,Asia Pacific,Singapore,14,10.60
47.236.130.95,2095,2095,false,SIN,Asia Pacific,Singapore,17,10.60
8.219.1.92,2096,2096,true,SIN,Asia Pacific,Singapore,46,10.60
8.218.119.115,443,443,true,HKG,Asia Pacific,Hong Kong,55,10.60
8.219.103.65,2082,2082,false,SIN,Asia Pacific,Singapore,36,10.59
8.219.74.35,8080,8080,false,SIN,Asia Pacific,Singapore,8,10.59
47.236.254.120,8443,8443,true,SIN,Asia Pacific,Singapore,65,10.59
8.222.208.38,8080,8080,false,SIN,Asia Pacific,Singapore,11,10.59
8.222.211.16,2082,2082,false,SIN,Asia Pacific,Singapore,27,10.59
8.222.162.45,8080,8080,false,SIN,Asia Pacific,Singapore,12,10.58
8.219.196.117,2087,2087,true,SIN,Asia Pacific,Singapore,68,10.58
47.76.37.57,2053,2053,true,HKG,Asia Pacific,Hong Kong,139,10.58
8.219.99.8,2087,2087,true,SIN,Asia Pacific,Singapore,56,10.58
8.219.174.213,2096,2096,true,SIN,Asia Pacific,Singapore,97,10.57
8.222.209.223,2052,2052,false,SIN,Asia Pacific,Singapore,15,10.57
8.219.98.13,2053,2053,true,SIN,Asia Pacific,Singapore,59,10.57
47.242.202.230,2053,2053,true,HKG,Asia Pacific,Hong Kong,65,10.56
8.222.221.86,8880,8880,false,SIN,Asia Pacific,Singapore,4,10.56
8.219.170.232,8443,8443,true,SIN,Asia Pacific,Singapore,64,10.56
8.219.163.195,2086,2086,false,SIN,Asia Pacific,Singapore,8,10.56
8.222.137.192,8880,8880,false,SIN,Asia Pacific,Singapore,18,10.55
8.219.174.213,2083,2083,true,SIN,Asia Pacific,Singapore,85,10.55
8.222.254.91,2052,2052,false,SIN,Asia Pacific,Singapore,4,10.55
8.219.122.55,80,80,false,SIN,Asia Pacific,Singapore,14,10.55
47.88.15.127,443,443,true,SJC,North America,San Jose,190,10.55
8.218.142.253,2082,2082,false,HKG,Asia Pacific,Hong Kong,34,10.53
8.219.170.180,443,443,true,SIN,Asia Pacific,Singapore,33,10.52
8.222.208.83,8880,8880,false,SIN,Asia Pacific,Singapore,18,10.52
8.219.97.179,2053,2053,true,SIN,Asia Pacific,Singapore,92,10.52
8.219.209.14,8443,8443,true,SIN,Asia Pacific,Singapore,145,10.52
8.219.111.147,2053,2053,true,SIN,Asia Pacific,Singapore,32,10.51
8.219.202.130,8080,8080,false,SIN,Asia Pacific,Singapore,11,10.51
8.222.219.34,443,443,true,SIN,Asia Pacific,Singapore,87,10.51
47.236.97.90,2083,2083,true,SIN,Asia Pacific,Singapore,86,10.50
8.222.213.221,2086,2086,false,SIN,Asia Pacific,Singapore,13,10.50
8.219.107.199,8880,8880,false,SIN,Asia Pacific,Singapore,21,10.50
8.222.213.221,8080,8080,false,SIN,Asia Pacific,Singapore,5,10.50
8.219.193.22,80,80,false,SIN,Asia Pacific,Singapore,19,10.49
8.222.197.251,2083,2083,true,SIN,Asia Pacific,Singapore,100,10.49
8.219.194.170,2095,2095,false,SIN,Asia Pacific,Singapore,7,10.49
47.236.104.98,2087,2087,true,SIN,Asia Pacific,Singapore,73,10.49
8.222.187.4,2082,2082,false,SIN,Asia Pacific,Singapore,23,10.49
47.236.202.91,2087,2087,true,SIN,Asia Pacific,Singapore,64,10.49
8.219.87.34,2095,2095,false,SIN,Asia Pacific,Singapore,7,10.48
47.243.27.217,2087,2087,true,HKG,Asia Pacific,Hong Kong,55,10.48
8.219.104.242,2053,2053,true,SIN,Asia Pacific,Singapore,85,10.48
8.219.196.24,2095,2095,false,SIN,Asia Pacific,Singapore,14,10.48
8.218.119.115,8880,8880,false,HKG,Asia Pacific,Hong Kong,37,10.48
47.243.183.127,2053,2053,true,HKG,Asia Pacific,Hong Kong,122,10.48
8.219.247.203,2052,2052,false,SIN,Asia Pacific,Singapore,13,10.48
8.218.188.129,2082,2082,false,HKG,Asia Pacific,Hong Kong,37,10.47
8.219.4.122,443,443,true,SIN,Asia Pacific,Singapore,66,10.47
8.219.157.97,8443,8443,true,SIN,Asia Pacific,Singapore,152,10.47
8.222.140.87,8443,8443,true,SIN,Asia Pacific,Singapore,72,10.47
8.219.110.88,8880,8880,false,SIN,Asia Pacific,Singapore,20,10.47
8.219.40.255,443,443,true,SIN,Asia Pacific,Singapore,74,10.47
47.236.87.206,2052,2052,false,SIN,Asia Pacific,Singapore,13,10.46
8.218.143.10,2096,2096,true,HKG,Asia Pacific,Hong Kong,78,10.46
8.222.162.45,2095,2095,false,SIN,Asia Pacific,Singapore,12,10.46
8.222.255.15,2086,2086,false,SIN,Asia Pacific,Singapore,4,10.46
8.222.249.190,8443,8443,true,SIN,Asia Pacific,Singapore,134,10.46
47.88.101.9,80,443,true,SJC,North America,San Jose,176,10.46
8.222.193.208,8880,8880,false,SIN,Asia Pacific,Singapore,4,10.45
8.222.140.87,2052,2052,false,SIN,Asia Pacific,Singapore,10,10.44
8.218.158.94,2086,2086,false,HKG,Asia Pacific,Hong Kong,44,10.44
8.222.167.147,2096,2096,true,SIN,Asia Pacific,Singapore,37,10.43
8.219.12.152,2086,2086,false,SIN,Asia Pacific,Singapore,11,10.43
8.222.249.98,2082,2082,false,SIN,Asia Pacific,Singapore,28,10.43
8.219.107.135,2096,2096,true,SIN,Asia Pacific,Singapore,103,10.42
8.219.206.180,443,443,true,SIN,Asia Pacific,Singapore,55,10.42
47.236.254.120,2052,2052,false,SIN,Asia Pacific,Singapore,7,10.42
8.219.228.186,80,80,false,SIN,Asia Pacific,Singapore,15,10.42
8.219.106.156,2087,2087,true,SIN,Asia Pacific,Singapore,62,10.42
8.218.18.132,8880,8880,false,HKG,Asia Pacific,Hong Kong,42,10.41
8.219.78.1,443,443,true,SIN,Asia Pacific,Singapore,65,10.41
8.219.222.98,80,80,false,SIN,Asia Pacific,Singapore,36,10.41
8.219.86.200,2096,2096,true,SIN,Asia Pacific,Singapore,45,10.40
8.210.21.65,443,443,true,HKG,Asia Pacific,Hong Kong,36,10.40
8.219.228.157,2083,2083,true,SIN,Asia Pacific,Singapore,107,10.40
8.219.58.64,443,443,true,SIN,Asia Pacific,Singapore,110,10.39
8.222.211.16,8080,8080,false,SIN,Asia Pacific,Singapore,4,10.39
8.222.244.123,2082,2082,false,SIN,Asia Pacific,Singapore,5,10.39
47.236.166.131,2087,2087,true,SIN,Asia Pacific,Singapore,89,10.39
8.218.136.25,2083,2083,true,HKG,Asia Pacific,Hong Kong,90,10.38
8.219.196.24,443,443,true,SIN,Asia Pacific,Singapore,157,10.38
47.236.11.84,80,80,false,SIN,Asia Pacific,Singapore,43,10.38
8.222.252.150,8080,8080,false,SIN,Asia Pacific,Singapore,20,10.37
8.219.0.162,2096,2096,true,SIN,Asia Pacific,Singapore,100,10.37
8.219.228.186,443,443,true,SIN,Asia Pacific,Singapore,101,10.37
8.219.5.10,2053,2053,true,SIN,Asia Pacific,Singapore,95,10.37
8.219.195.47,443,443,true,SIN,Asia Pacific,Singapore,71,10.36
8.210.9.129,2053,2053,true,HKG,Asia Pacific,Hong Kong,77,10.36
8.219.193.22,2095,2095,false,SIN,Asia Pacific,Singapore,9,10.36
8.219.228.186,8880,8880,false,SIN,Asia Pacific,Singapore,5,10.36
8.219.159.232,80,80,false,SIN,Asia Pacific,Singapore,19,10.36
8.219.195.47,443,443,true,SIN,Asia Pacific,Singapore,143,10.36
